CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1,2,1,1,19
35,1,1,11,19
1,9,1,5,19
31,1,1,1,17
2,2,1,3,17
1,7,1,3,17
38,11,1,4,17
4,3,1,5,17
14,6,1,3,16
5,1,1,1,16
1,24,1,1,15
46,4,1,66,15
1,1,1,3,15
5,9,1,4,14
20,2,1,1,14
2,2,1,55,13
1,23,1,2,12
14,6,1,9,11
1,67,1,1,11
1,6,1,1,11
3,2,1,2,10
7,3,1,3,10
58,1,1,36,10
1,4,1,1,10
1,4,1,4,10
5,33,1,2,9
21,2,1,1,9
3,2,1,3,9
1,1,1,26,9
1,163,1,12,9
68,25,1,1,9
6,9,1,5,9
1,14,1,2,9
16,1,1,2,8
32,1,1,3,8
1,2,1,1,8
1,1,1,1,8
1,32,1,1,8
6,33,1,1,8
1,3,1,5,8
30,47,1,6,8
10,1,1,1,7
1,5,1,163,7
7,3,1,1,7
45,4,1,47,7
2,11,1,1,7
5,2,1,9,7
2,2,1,1,6
5,7,1,1,6
1,1,1,6,6
19,24,1,5,6
4,1,1,2,6
1,6,1,4,6
6,41,1,1,6
1,4,1,4,5
38,1,1,2,5
16,2,1,3,5
5,22,1,28,5
1,1,1,1,5
1,3,1,4,5
5,12,1,39,5
1,1,1,2,5
1,8,1,11,5
5,47,1,1,5
3,3,1,1,5
3,3,1,1,4
1,1,1,6,4
43,14,1,16,4
24,9,1,5,4
1,8,1,48,4
31,43,1,5,4
1,14,1,2,4
2,12,1,1,4
11,11,1,17,4
84,3,1,16,3
67,1,1,3,3
7,1,1,106,3
1,1,1,1,3
1,3,1,1,3
1,9,1,4,3
2,11,1,39,3
4,21,1,2,3
15,33,1,1,3
5,2,1,1,3
2,4,1,71,3
3,1,1,36,3
3,1,1,1,3
1,2,1,1,3
1,2,1,1,3
1,5,1,1,3
18,22,1,10,3
1,1,1,1,3
1,4,1,2,3
11,3,1,88,3
22,7,1,1,3
10,49,1,1,3
3,18,1,1,3
2,2,1,1,2
8,1,1,1,2
8,32,1,25,2
12,1,1,8,2
11,2,1,1,2
1,4,1,9,2
1,51,1,2,2
1,1,1,4,2
1,1,1,1,2
29,1,1,1,2
1,1,1,6,2
3,10,1,2,2
1,1,1,7,2
5,2,1,3,2
5,6,1,1,2
2,4,1,55,2
16,1,1,55,2
1,4,1,1,2
4,2,1,1,2
2,20,1,3,2
4,1,1,6,2
2,1,1,7,2
1,4,1,45,2
41,1,1,1,2
46,3,1,1,2
2,1,1,1,2
1,5,1,1,2
1,11,1,3,2
2,5,1,22,2
1,1,1,3,2
2,7,1,3,2
1,1,1,38,2
1,4,1,3,2
1,6,1,24,2
73,2,1,2,2
45,3,1,1,2
5,18,1,2,2
2,41,1,1,2
1,1,1,3,2
1,20,1,27,2
2,24,1,1,2
47,1,1,2,2
3,11,1,7,2
1,3,1,1,1
28,50,1,5,1
4,4,1,6,1
16,1,1,17,1
3,6,1,2,1
1,4,1,1,1
24,2,1,6,1
27,7,1,1,1
1,2,1,13,1
5,13,1,3,1
1,1,1,1,1
11,4,1,10,1
1,1,1,2,1
11,7,1,6,1
7,2,1,8,1
1,1,1,7,1
26,3,1,2,1
1,1,1,4,1
17,1,1,3,1
2,1,1,1,1
9,1,1,2,1
4,8,1,3,1
1,5,1,1,1
1,1,1,1,1
2,8,1,19,1
23,2,1,1,1
16,48,1,4,1
73,1,1,1,1
2,7,1,1,1
1,34,1,7,1
1,52,1,2,1
2,4,1,1,1
7,4,1,1,1
2,4,1,44,1
1,4,1,67,1
4,3,1,1,1
1,10,1,4,1
11,4,1,7,1
3,25,1,1,1
4,18,1,76,1
3,12,1,1,1
9,55,1,35,1
9,6,1,4,1
6,1,1,3,1
1,1,1,4,1
1,40,1,1,1
8,36,1,3,1
1,2,1,1,1
9,1,1,6,1
3,9,1,8,1
2,1,1,7,1
1,7,1,2,1
1,3,1,4,1
2,14,1,1,1
3,1,1,50,1
15,16,1,3,1
1,1,1,1,1
2,16,1,1,1
1,5,1,1,1
2,6,1,1,1
2,1,1,40,1
1,5,1,22,1
5,4,1,1,1
1,1,1,2,1
5,6,1,1,1
1,1,1,9,1
66,5,1,1,1
30,4,1,3,1
1,8,1,1,1
2,9,1,5,1
32,2,1,5,1
4,6,1,1,1
1,1,1,1,1
22,41,1,16,1
41,14,1,4,1
1,3,1,1,1
1,1,1,1,1
1,2,1,1,1
2,121,1,1,1
1,70,1,8,1
9,3,1,2,1
9,7,1,1,1
3,1,1,1,1
11,1,1,13,1
8,20,1,7,1
125,36,1,1,1
53,13,1,1,1
11,7,1,5,1
23,15,1,3,1
4,5,1,2,1
3,17,1,1,1
6,9,1,1,1
2,1,1,10,1
2,1,1,1,1
15,1,1,3,1
4,129,1,15,1
5,1,1,38,1
5,25,1,60,1
8,13,1,1,1
7,4,1,11,1
2,1,1,1,1
1,5,1,5,1
9,26,1,1,1
16,1,1,2,1
1,1,1,1,1
5,1,1,1,1
3,3,1,1,1
1,,,1,1772
,,,1,1656
,,,,1625
,,,,1600
,,,,1397
,,,,1017
,,,,592
,,,,551
1,1,,2,447
,,,,422
,,,,405
,,,,399
,,,,398
,,,,313
,,,,274
,,,,255
,,,,252
,,,,251
,,,1,241
,,,,233
2,5,,2,226
,,,,222
,,,,222
,,,,218
,,,,216
,,,1,214
,,,,212
,,,,211
1,1,,1,208
,,,,205
,,,,201
,,,,181
,,,,180
1,,,1,178
1,1,,19,177
,,,,174
12,,,3,172
1,,,1,164
1,20,,84,159
,,,,158
,,,,157
,,,,151
20,61,,1,148
,,,1,148
,,,,148
140,170,,4,146
1,,,1,146
,,,,145
,,,,143
,,,1,142
,,,,141
,,,,141
32,2,,30,140
,,,,140
1,1,,18,135
,,,,135
55,3,,1,130
,,,,126
,,,,122
1,1,,11,118
,,,,116
,,,,113
2,1,,1,110
6,10,,1,109
1,6,,1,106
,,,,106
,,,,105
1,,,12,104
1,230,,5,103
,,,,102
,,,,102
,,,,102
3,,,1,101
,,,1,100
1,,,30,99
3,3,,1,98
,,,,98
36,,,13,97
,,,,97
,,,1,96
3,1,,3,95
3,,,1,94
,,,1,94
,,,,94
,,,,93
,,,,93
,,,,91
,,,,91
2,,,9,90
,,,,89
,,,,87
,,,2,86
,,,,86
3,,,57,85
,,,,85
,,,,85
,,,,85
6,17,,1,84
,,,,84
,,,,84
1,,,1,83
,,,,83
,,,,83
,,,,83
1,1,,1,82
3,,,27,82
,,,,82
3,,,67,81
,,,1,81
1,6,,9,80
,,,11,80
,,,,80
,,,1,78
,,,,78
,,,,78
,,,,77
,,,,77
,,,,75
,,,,74
4,2,,1,73
5,,,1,73
,,,,73
,,,,73
,,,,73
,,,,73
1,8,,1,72
5,26,,3,72
,,,1,72
,,,,72
1,4,,115,71
,,,36,71
,,,,71
,,,,70
,,,,70
,,,,70
2,1,,1,69
6,,,1,69
,,,,69
,,,,69
1,4,,2,68
,,,,68
,,,,68
,,,,68
,,,,68
1,,,1,67
18,,,14,67
,,,,67
,,,,66
,,,,66
,,,,66
1,4,,6,65
,,,,65
,,,,65
,,,,65
12,,,1,64
,,,,64
,,,,64
,,,,64
,,,,64
2,1,,1,63
1,1,,3,63
1,5,,26,63
8,,,1,63
,,,,63
,,,,63
,,,,63
,,,,63
5,28,,11,62
1,1,,14,62
,,,,62
2,2,,1,61
,,,,61
,,,,61
,,,,61
,,,,61
,,,,61
18,2,,16,60
4,1,,1,60
2,,,3,60
,,,,60
,,,,60
,,,,60
,,,,60
,,,,60
,,,,60
3,,,8,59
3,,,2,59
,,,,58
,,,,58
,,,,58
,,,,58
16,24,,1,57
3,,,4,57
,,,1,57
,,,,57
,,,,57
,,,,57
,,,,57
,,,,57
15,2,,1,56
1,1,,25,56
,,,15,56
,,,,56
,,,,56
,,,,56
,,,,56
,,,,56
,,,,56
,,,,56
51,,,1,55
,,,,55
,,,,55
,,,,55
,,,,55
,,,,55
,,,,55
,,,4,54
,,,1,54
,,,,54
,,,,54
,,,,54
,,,,54
,,,,54
,,,,54
1,4,,1,53
9,15,,3,53
2,,,1,53
6,,,1,53
,,,1,53
,,,,53
,,,,53
3,14,,18,52
11,2,,2,52
1,3,,1,52
8,,,1,52
2,,,2,52
,,,,52
,,,,52
2,1,,1,51
,,,,51
,,,,51
,,,,51
7,1,,7,50
,,,1,50
,,,37,50
,,,,50
4,70,,45,49
1,7,,11,49
2,,,70,49
,,,5,49
,,,,49
,,,,49
1,14,,1,48
19,,,7,48
3,,,37,48
4,,,1,48
6,,,40,48
,,,,48
,,,,48
,,,,48
,,,,48
1,2,,1,47
1,,,1,47
1,,,11,47
19,,,2,47
,,,1,47
,,,,47
,,,,47
,,,,47
,,,,47
,,,,47
1,2,,99,46
25,1,,133,46
,,,1,46
,,,16,46
,,,,46
,,,,46
,,,,46
,,,,46
,,,,46
,,,,46
,,,2,45
,,,,45
,,,,45
,,,,45
,,,,45
,,,,45
,,,,45
1,2,,2,44
11,17,,2,44
14,,,2,44
,,,,44
,,,,44
,,,,44
1,2,,20,43
1,,,7,43
,,,10,43
1,3,,1,42
1,2,,2,42
4,72,,1,42
38,3,,1,42
1,,,52,42
,,,,42
,,,,42
,,,,42
,,,,42
,,,,42
,,,,42
3,4,,13,41
1,1,,2,41
1,,,19,41
,,,1,41
,,,4,41
,,,,41
,,,,41
,,,,41
,,,,41
15,6,,24,40
6,11,,1,40
,,,1,40
,,,,40
,,,,40
1,1,,66,39
16,,,2,39
1,,,1,39
,,,1,39
,,,,39
,,,,39
,,,,39
,,,,39
3,,,8,38
,,,1,38
,,,,38
,,,,38
,,,,38
,,,,38
,,,,38
,,,,38
,,,,38
,,,,38
3,7,,4,37
24,44,,9,37
1,1,,8,37
2,,,1,37
,,,,37
,,,,37
,,,,37
,,,,37
2,2,,28,36
1,1,,2,36
337,1,,5,36
1,,,2,36
1,,,123,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
1,16,,1,35
1,,,3,35
,,,35,35
,,,,35
,,,,35
,,,,35
1,1,,6,34
2,1,,1,34
1,11,,123,34
3,,,14,34
1,,,11,34
2,,,3,34
,,,1,34
,,,1,34
,,,1,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
1,20,,6,33
1,44,,10,33
1,22,,15,33
1,1,,17,33
10,1,,1,33
1,,,1,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
4,3,,1,32
30,1,,26,32
2,1,,3,32
1,6,,1,32
4,23,,5,32
2,,,6,32
43,,,1,32
5,,,5,32
2,,,28,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
1,46,,1,31
1,5,,15,31
8,,,17,31
,,,1,31
,,,1,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
2,17,,9,30
1,,,6,30
,,,2,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
2,12,,1,29
1,,,1,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
1,1,,67,28
6,5,,1,28
1,,,2,28
,,,2,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
1,2,,1,27
71,10,,1,27
1,,,39,27
1,,,30,27
18,,,1,27
,,,1,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
2,11,,1,26
21,1,,1,26
19,,,9,26
1,,,8,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
79,2,,4,25
